lang,English|EN,简体中文|ZH,
,,,
Node,Node,节点,
Main,Main,开始,
main,main,开始,
Logic,Logic,逻辑,
Loop,Loop,循环,
Invert,Invert,取反,
Referencing,Referencing,变量引用,
BinaryOperator,BinaryOperator,二元操作,
Variable,Variable,变量,
Print,Print,打印,
Length,Length,取长度,
Random,Random,随机数,
Round,Round,四舍五入,
Sleep,Sleep,休眠,
GetAttr,GetAttr,取属性,
Sqrt,Sqrt,平方,
Abs,Abs,绝对值,
Floor,Floor,向下取整,
Ceil,Ceil,向上取整,
,,,
line,line,行,
input,input,输入,
output,output,输出,
type,type,类型,
value,value,值,
condition,condition,条件,
none,none,未指定,
attrName,attrName,属性名,
,,,
number,number,数字,
string,string,字符串,
boolean,boolean,布尔,
array,array,数组,
